locus_tag,length,genes,EC,product [prokka],KO,product [KEGG],annotation [KEGG GENES ]
RHAL1_01836,1683, ,2.1.1.-,putative enzyme,,,no KO assigned 
RHAL1_01837,471,rplM, ,50S ribosomal subunit protein L13,K02871,large subunit ribosomal protein L13,K02871 large subunit ribosomal protein L13 
RHAL1_01838,480,rpsI, ,30S ribosomal protein S9,K02996,small subunit ribosomal protein S9,K02996 small subunit ribosomal protein S9 
RHAL1_01839,441, , ,hypothetical protein,,,no KO assigned 
RHAL1_01840,1995,phaC,2.3.1.-,Poly(3-hydroxyalkanoate) polymerase,K03821,polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-],K03821 poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaC [EC:2.3.1.304] 
RHAL1_01841,849, ,4.3.2.3,Ureidoglycolate lyase,,,"K18336 2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26] "
RHAL1_01842,453, , ,Transcriptional regulator,,,no KO assigned 
RHAL1_01843,912,argC,1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase,K00145,N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38] 
RHAL1_01844,1305,hom,1.1.1.3,Homoserine dehydrogenase,K00003,homoserine dehydrogenase [EC:1.1.1.3],K00003 homoserine dehydrogenase [EC:1.1.1.3] 
RHAL1_01845,1455, , ,hypothetical protein,,,no KO assigned 
RHAL1_01846,618, , ,Cytokinin riboside 5'-monophosphate phosphoribohydrolase,K22522,cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-],no KO assigned 
RHAL1_01847,183, , ,protein of unknown function,,,no KO assigned 
RHAL1_01848,74, , ,tRNA-Cys(gca),,,K14222 tRNA Cys 
RHAL1_01849,76, , ,tRNA-Asn(gtt),,,no KO assigned 
RHAL1_01850,216, , ,protein of unknown function,,,no KO assigned 
RHAL1_01851,186, , ,protein of unknown function,,,no KO assigned 
RHAL1_01852,1248,tyrS,6.1.1.1,Tyrosine--tRNA ligase,K01866,tyrosyl-tRNA synthetase [EC:6.1.1.1],K01866 tyrosyl-tRNA synthetase [EC:6.1.1.1] 
RHAL1_01853,876, , ,membrane protein of unknown function,,,no KO assigned 
RHAL1_01854,555, , ,protein of unknown function,,,no KO assigned 
RHAL1_01855,837, , ,Fatty acid hydroxylase,,,no KO assigned 
RHAL1_01856,651, , ,hypothetical protein,,,no KO assigned 
RHAL1_01857,744, , ,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases,,,no KO assigned 
RHAL1_01858,693, , ,hypothetical protein,K07018,uncharacterized protein,K07018 uncharacterized protein 
RHAL1_01859,1173,nifS,2.8.1.7,Cysteine desulfurase,K04487,cysteine desulfurase [EC:2.8.1.7],K04487 cysteine desulfurase [EC:2.8.1.7] 
RHAL1_01860,1485,sufB, ,component of SufBCD complex,K09014,Fe-S cluster assembly protein SufB,K09014 Fe-S cluster assembly protein SufB 
RHAL1_01861,756,sufC, ,"component of SufBCD complex, ATP-binding component of ABC superfamily",K09013,Fe-S cluster assembly ATP-binding protein,K09013 Fe-S cluster assembly ATP-binding protein 
RHAL1_01862,1356, , ,FeS assembly protein SufD,K09015,Fe-S cluster assembly protein SufD,K09015 Fe-S cluster assembly protein SufD 
RHAL1_01863,1242,sufS,4.4.1.16,"selenocysteine lyase, PLP-dependent",K11717,cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16],K11717 cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16] 
RHAL1_01864,384, , ,hypothetical protein,,,no KO assigned 
RHAL1_01865,1278,metY, ,O-acetylhomoserine (Thiol)-lyase MetY,K01740,O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49],K01740 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49] 
RHAL1_01866,288, , ,protein of unknown function,,,no KO assigned 
RHAL1_01867,1062, , ,Potassium channel protein,,,K10716 voltage-gated potassium channel 
RHAL1_01868,885, , ,Epoxide hydrolase,,,K22369 epoxide hydrolase 4 [EC:3.3.-.-] 
RHAL1_01869,972, , ,exported protein of unknown function,,,K07080 uncharacterized protein 
RHAL1_01870,672, , ,hypothetical protein,,,no KO assigned 
RHAL1_01871,77, , ,tRNA-Asp(gtc),,,K14221 tRNA Asp 
RHAL1_01872,1098,ctaA,1.3.-.-,Heme A synthase,K02259,cytochrome c oxidase assembly protein subunit 15,K02259 heme a synthase [EC:1.17.99.9] 
RHAL1_01873,228, , ,hypothetical protein,,,no KO assigned 
RHAL1_01874,234, , ,protein of unknown function,,,no KO assigned 
RHAL1_01875,225, , ,protein of unknown function,,,no KO assigned 
RHAL1_01876,954,mazG,3.6.1.8,Nucleoside triphosphate pyrophosphohydrolase,,,K04765 nucleoside triphosphate diphosphatase [EC:3.6.1.9] 
RHAL1_01877,672, , ,Cold-shock DNA-binding domain protein,K03704,cold shock protein,K03704 cold shock protein 
RHAL1_01878,795, , ,"Phosphoribosyl 1,2-cyclic phosphodiesterase",K06167,"phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]","K06167 phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55] "
RHAL1_01879,795,yabD,3.1.-.-,putative metal-dependent hydrolase YabD,K03424,TatD DNase family protein [EC:3.1.21.-],K03424 TatD DNase family protein [EC:3.1.21.-] 
RHAL1_01880,1578,metG,6.1.1.10,Methionine--tRNA ligase,K01874,methionyl-tRNA synthetase [EC:6.1.1.10],K01874 methionyl-tRNA synthetase [EC:6.1.1.10] 
RHAL1_01881,1062, , ,DNA polymerase III subunit delta,,,K02341 DNA polymerase III subunit delta' [EC:2.7.7.7] 
RHAL1_01882,1227, , ,"Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family",,,K03185 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-] 
RHAL1_01883,474, , ,hypothetical protein,,,no KO assigned 
RHAL1_01884,429, , ,protein of unknown function,,,no KO assigned 
RHAL1_01885,77, , ,tRNA-Arg(tct),,,no KO assigned 
RHAL1_01886,306, , ,ETC complex I subunit,,,no KO assigned 
RHAL1_01887,77, , ,tRNA-Pro(tgg),,,no KO assigned 
RHAL1_01888,447, , ,protein of unknown function,,,no KO assigned 
RHAL1_01889,141, , ,hypothetical protein,,,no KO assigned 
RHAL1_01890,138, , ,protein of unknown function,,,no KO assigned 
RHAL1_01891,444, , ,hypothetical protein,,,no KO assigned 
RHAL1_01892,666, , ,hypothetical protein,,,no KO assigned 
RHAL1_01893,147, , ,hypothetical protein,,,no KO assigned 
RHAL1_01894,76, , ,tRNA-Glu(ttc),,,K14224 tRNA Glu 
RHAL1_01895,195, , ,protein of unknown function,,,no KO assigned 
RHAL1_01896,699, ,1.13.11.24,"putative Quercetin 2,3-dioxygenase",K06911,uncharacterized protein,"K06911 quercetin 2,3-dioxygenase [EC:1.13.11.24] "
RHAL1_01897,2133,glgX_1,3.2.1.-,Glycogen operon protein GlgX ,K01214,isoamylase [EC:3.2.1.68],K01214 isoamylase [EC:3.2.1.68] 
RHAL1_01898,810, , ,ATPase,,,no KO assigned 
RHAL1_01899,669, , ,HAD family hydrolase,K01091,phosphoglycolate phosphatase [EC:3.1.3.18],K01091 phosphoglycolate phosphatase [EC:3.1.3.18] 
RHAL1_01900,372, , ,putative PsiF repeat-containing protein,,,no KO assigned 
RHAL1_01901,390, , ,hypothetical protein,,,no KO assigned 
RHAL1_01902,1059,moaA,4.1.99.22,"GTP 3',8-cyclase",K03639,"GTP 3',8-cyclase [EC:4.1.99.22]","K03639 GTP 3',8-cyclase [EC:4.1.99.22] "
RHAL1_01903,198, , ,protein of unknown function,,,no KO assigned 
RHAL1_01904,228, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_01905,1404, , ,protein of unknown function,,,no KO assigned 
RHAL1_01906,348, , ,hypothetical protein,,,no KO assigned 
RHAL1_01907,1098,mrp, ,Iron-sulfur cluster carrier protein,K03593,ATP-binding protein involved in chromosome partitioning,K03593 ATP-binding protein involved in chromosome partitioning 
RHAL1_01908,756,nocT, ,Nopaline-binding periplasmic protein,K02030,polar amino acid transport system substrate-binding protein,K02030 polar amino acid transport system substrate-binding protein 
RHAL1_01909,246, , ,Aminoacyl carrier protein,,,no KO assigned 
RHAL1_01910,1188, , ,Acyl-CoA dehydrogenase,,,K00249 acyl-CoA dehydrogenase [EC:1.3.8.7] 
RHAL1_01911,912, , ,Amino acid--[acyl-carrier-protein] ligase,,,no KO assigned 
RHAL1_01912,975, , ,Succinylarginine dihydrolase,,,no KO assigned 
RHAL1_01913,2421, , ,Beta-mannosidase,K01192,beta-mannosidase [EC:3.2.1.25],K01192 beta-mannosidase [EC:3.2.1.25] 
RHAL1_01914,276, , ,Transglycosylase-associated protein,,,no KO assigned 
RHAL1_01915,258, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_01916,678, , ,hypothetical protein,,,no KO assigned 
RHAL1_01917,294, , ,hypothetical protein,,,no KO assigned 
RHAL1_01918,1659, , ,Sulfite reductase (NADPH) hemoprotein beta-component,K00381,sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2],K00381 sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2] 
RHAL1_01919,735,cysH,1.8.4.8,Phosphoadenosine phosphosulfate reductase,K00390,phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10],K00390 phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10] 
RHAL1_01920,495, , ,Oxidoreductase (fragment),,,no KO assigned 
RHAL1_01921,561, ,3.5.1.124,putative Protein deglycase,K05520,protease I [EC:3.5.1.124],K05520 protease I [EC:3.5.1.124] 
RHAL1_01922,399, , ,hypothetical protein,,,no KO assigned 
RHAL1_01923,828,nit,3.5.1.-,Deaminated glutathione amidase,K11206,deaminated glutathione amidase [EC:3.5.1.128],K11206 deaminated glutathione amidase [EC:3.5.1.128] 
RHAL1_01924,90, , ,tRNA-Ser(gga),,,K14233 tRNA Ser 
RHAL1_01925,90, , ,tRNA-Ser(cga),,,K14233 tRNA Ser 
RHAL1_01926,918, , ,ABC transporter,,,K01990 ABC-2 type transport system ATP-binding protein 
RHAL1_01927,1185, , ,hypothetical protein,,,K01992 ABC-2 type transport system permease protein 
RHAL1_01928,1395,calB_1,1.2.1.68,putative coniferyl aldehyde dehydrogenase,,,K00154 coniferyl-aldehyde dehydrogenase [EC:1.2.1.68] 
RHAL1_01929,1119, , ,"Wenxma_16, whole genome shotgun sequence",,,no KO assigned 
RHAL1_01930,555, , ,1-acyl-sn-glycerol-3-phosphate acyltransferase,,,no KO assigned 
RHAL1_01931,1539, , ,Phytoene desaturase,,,K10210 diapolycopene oxygenase [EC:1.14.99.44] 
RHAL1_01932,1494,crtI_1,1.14.99.-,Phytoene desaturase,K10027,phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31],K10027 phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31] 
RHAL1_01933,1500,purF,2.4.2.14,amidophosphoribosyltransferase,K00764,amidophosphoribosyltransferase [EC:2.4.2.14],K00764 amidophosphoribosyltransferase [EC:2.4.2.14] 
RHAL1_01934,660, , ,Colicin V production protein,K03558,membrane protein required for colicin V production,K03558 membrane protein required for colicin V production 
RHAL1_01935,1446,radA,3.6.4.-,DNA repair protein RadA,K04485,DNA repair protein RadA/Sms,K04485 DNA repair protein RadA/Sms 
RHAL1_01936,654, , ,hypothetical protein,K07735,putative transcriptional regulator,K07735 putative transcriptional regulator 
RHAL1_01937,744, , ,hypothetical protein,,,no KO assigned 
RHAL1_01938,483, , ,Peroxiredoxin,,,K24138 glutaredoxin/glutathione-dependent peroxiredoxin [EC:1.11.1.25 1.11.1.27] 
RHAL1_01939,186, , ,protein of unknown function,,,no KO assigned 
RHAL1_01940,948,folD,1.5.1.5,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase and 5,10-methylene-tetrahydrofolate cyclohydrolase",K01491,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cy,K01491 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC
RHAL1_01941,882, , ,Galactose mutarotase,,,no KO assigned 
RHAL1_01942,927, , ,Lipid kinase,K07029,diacylglycerol kinase (ATP) [EC:2.7.1.107],K07029 diacylglycerol kinase (ATP) [EC:2.7.1.107] 
RHAL1_01943,1593,hpnP_1,2.1.1.-,Hopanoid C-2 methylase,,,K22705 hopanoid C-2 methylase [EC:2.1.1.-] 
RHAL1_01944,222, , ,hypothetical protein,,,no KO assigned 
RHAL1_01945,987,hpnP_2,2.1.1.-,Hopanoid C-2 methylase,,,K22705 hopanoid C-2 methylase [EC:2.1.1.-] 
RHAL1_01946,1008, , ,protein of unknown function,,,"K20974 two-component system, sensor histidine kinase [EC:2.7.13.3] "
RHAL1_01947,315, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_01948,1140, ,2.1.1.-,putative enzyme,,,K03215 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190] 
RHAL1_01949,939, , ,Short-chain dehydrogenase,,,no KO assigned 
RHAL1_01950,1593,opgD, ,Glucans biosynthesis protein D 2,K03670,periplasmic glucans biosynthesis protein,K03670 periplasmic glucans biosynthesis protein 
RHAL1_01951,552,cobP, ,Bifunctional adenosylcobalamin biosynthesis protein CobP,K02231,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase,K02231 adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.
RHAL1_01952,909,cysD,2.7.7.4,sulfate adenylyltransferase subunit 2 (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase small subunit),K00957,sulfate adenylyltransferase subunit 2 [EC:2.7.7.4],K00957 sulfate adenylyltransferase subunit 2 [EC:2.7.7.4] 
RHAL1_01953,1959,nodQ,2.7.1.25,Sulfate adenylyltransferase subunit 1 / Adenylyl-sulfate kinase,K00955|K00956 ,bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]|sulfate adenylyltransferase subunit 1 [EC:2.7.7.4] ,K00955 bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25] 
RHAL1_01954,1644, , ,Acetolactate synthase large subunit,K01652,acetolactate synthase I/II/III large subunit [EC:2.2.1.6],K01652 acetolactate synthase I/II/III large subunit [EC:2.2.1.6] 
RHAL1_01955,85, , ,tRNA-Leu(gag),,,no KO assigned 
RHAL1_01956,1440, , ,Magnesium transporter MgtE,K06213,magnesium transporter,K06213 magnesium transporter 
RHAL1_01957,429, , ,Cupin,K09705,uncharacterized protein,K09705 uncharacterized protein 
RHAL1_01958,696, , ,"Transcriptional regulator, LuxR family",,,no KO assigned 
RHAL1_01959,1437,pccR, ,Propionyl-CoA carboxylase regulator,K07110,"XRE family transcriptional regulator, fatty acid utilization regulator","K21686 XRE family transcriptional regulator, fatty acid utilization regulator "
RHAL1_01960,729, , ,Dimethylmenaquinone methyltransferase,,,no KO assigned 
RHAL1_01961,366,yobA, ,Protein YobA,K07156,copper resistance protein C,K07156 copper resistance protein C 
RHAL1_01962,1041, , ,"Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family",,,no KO assigned 
RHAL1_01963,1206, , ,hypothetical protein,,,no KO assigned 
RHAL1_01964,363, , ,hypothetical protein,,,no KO assigned 
RHAL1_01965,741,otsB,3.1.3.12,Trehalose-phosphate phosphatase,K01087,trehalose 6-phosphate phosphatase [EC:3.1.3.12],K01087 trehalose 6-phosphate phosphatase [EC:3.1.3.12] 
RHAL1_01966,441,gloA,4.4.1.5,Lactoylglutathione lyase,K01759,lactoylglutathione lyase [EC:4.4.1.5],K01759 lactoylglutathione lyase [EC:4.4.1.5] 
RHAL1_01967,987, , ,hypothetical protein,,,no KO assigned 
RHAL1_01968,534, , ,hypothetical protein,K16260,mxaD protein,no KO assigned 
RHAL1_01969,570, , ,putative signal peptide,K16260,mxaD protein,no KO assigned 
RHAL1_01970,2652,pepN,3.4.11.2,Aminopeptidase N,K01256,aminopeptidase N [EC:3.4.11.2],K01256 aminopeptidase N [EC:3.4.11.2] 
RHAL1_01971,1425,gtr, ,Glucose transport protein,,,"K08139 MFS transporter, SP family, sugar:H+ symporter "
RHAL1_01972,372, , ,hypothetical protein,K13628,iron-sulfur cluster assembly protein,K13628 iron-sulfur cluster assembly protein 
RHAL1_01973,1332,hflX, ,putative GTPase,K03665,GTPase,K03665 GTPase 
RHAL1_01974,252,hfq, ,RNA-binding protein Hfq,K03666,host factor-I protein,K03666 host factor-I protein 
RHAL1_01975,864,dat,2.6.1.21,D-alanine aminotransferase,K00824,D-alanine transaminase [EC:2.6.1.21],K00824 D-alanine transaminase [EC:2.6.1.21] 
RHAL1_01976,540, , ,Chromate transporter,K07240,chromate transporter,K07240 chromate transporter 
RHAL1_01977,588, , ,Chromate transporter,K07240,chromate transporter,K07240 chromate transporter 
RHAL1_01978,1368,ntrX, ,Nitrogen assimilation regulatory protein NtrX,K13599,"two-component system, NtrC family, nitrogen regulation response regulator Ntr","K13599 two-component system, NtrC family, nitrogen regulation response regulator NtrX "
RHAL1_01979,2343,ntrY,2.7.13.3,Nitrogen regulation protein NtrY,K13598,"two-component system, NtrC family, nitrogen regulation sensor histidine kinas","K13598 two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.1"
RHAL1_01980,1701, , ,Calcineurin-like phosphoesterase,,,no KO assigned 
RHAL1_01981,630,pabA_2,2.6.1.85,"aminodeoxychorismate synthase, subunit II",K01658,anthranilate synthase component II [EC:4.1.3.27],K01658 anthranilate synthase component II [EC:4.1.3.27] 
RHAL1_01982,1035,trpD,2.4.2.18,Anthranilate phosphoribosyltransferase,K00766,anthranilate phosphoribosyltransferase [EC:2.4.2.18],K00766 anthranilate phosphoribosyltransferase [EC:2.4.2.18] 
RHAL1_01983,840,trpC,4.1.1.48,Indole-3-glycerol phosphate synthase,K01609,indole-3-glycerol phosphate synthase [EC:4.1.1.48],K01609 indole-3-glycerol phosphate synthase [EC:4.1.1.48] 
RHAL1_01984,480,moaC, ,"molybdopterin biosynthesis, protein C",K03637,cyclic pyranopterin monophosphate synthase [EC:4.6.1.17],K03637 cyclic pyranopterin monophosphate synthase [EC:4.6.1.17] 
RHAL1_01985,1224, , ,Molybdopterin molybdenumtransferase MoeA,K03750,molybdopterin molybdotransferase [EC:2.10.1.1],K03750 molybdopterin molybdotransferase [EC:2.10.1.1] 
RHAL1_01986,258, , ,YARHG domain-containing protein,,,no KO assigned 
RHAL1_01987,417, , ,hypothetical protein,,,no KO assigned 
RHAL1_01988,1224, , ,Diguanylate phosphodiesterase,,,no KO assigned 
RHAL1_01989,714,lexA,3.4.21.88,LexA repressor,K01356,repressor LexA [EC:3.4.21.88],K01356 repressor LexA [EC:3.4.21.88] 
RHAL1_01990,567, , ,hypothetical protein,,,no KO assigned 
RHAL1_01991,2229, , ,ComEC/Rec2-related protein,K02238,competence protein ComEC,K02238 competence protein ComEC 
RHAL1_01992,1416,gltX_2,6.1.1.17,Glutamate--tRNA ligase 1,K01885,glutamyl-tRNA synthetase [EC:6.1.1.17],K01885 glutamyl-tRNA synthetase [EC:6.1.1.17] 
RHAL1_01993,1290,gltA,2.3.3.1,citrate synthase,K01647,citrate synthase [EC:2.3.3.1],K01647 citrate synthase [EC:2.3.3.1] 
RHAL1_01994,1362,pdhC,2.3.1.12,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,K00627,pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:,K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] 
RHAL1_01995,1428,pdhB,1.2.4.1,Pyruvate dehydrogenase E1 component subunit beta,K00162,pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1],K00162 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1] 
RHAL1_01996,1017,pdhA,1.2.4.1,Pyruvate dehydrogenase E1 component subunit alpha,K00161,pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1],K00161 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1] 
RHAL1_01997,1629,dhaK,2.7.1.29,Dihydroxyacetone kinase,K00863,triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1,no KO assigned 
RHAL1_01998,321, , ,Septation inhibitor protein,,,no KO assigned 
RHAL1_01999,1809, , ,Single-stranded-DNA-specific exonuclease,K07462,single-stranded-DNA-specific exonuclease [EC:3.1.-.-],K07462 single-stranded-DNA-specific exonuclease [EC:3.1.-.-] 
RHAL1_02000,1488,yhdG, ,putative amino acid permease YhdG,K03294,"basic amino acid/polyamine antiporter, APA family","K03294 basic amino acid/polyamine antiporter, APA family "
RHAL1_02001,765, , ,DSBA oxidoreductase,,,no KO assigned 
RHAL1_02002,444,aroQ,4.2.1.10,3-dehydroquinate dehydratase,K03786,3-dehydroquinate dehydratase II [EC:4.2.1.10],K03786 3-dehydroquinate dehydratase II [EC:4.2.1.10] 
RHAL1_02003,480,accB, ,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,K02160,acetyl-CoA carboxylase biotin carboxyl carrier protein,K02160 acetyl-CoA carboxylase biotin carboxyl carrier protein 
RHAL1_02004,1356,accC,6.3.4.14,"acetyl-CoA carboxylase, biotin carboxylase subunit",K01961,"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]","K01961 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14] "
RHAL1_02005,1467, , ,hypothetical protein,K08997,uncharacterized protein,K08997 serine/tyrosine/threonine adenylyltransferase [EC:2.7.7.-] 
RHAL1_02006,1200,ispDF,2.7.7.60,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",K00991|K12506 ,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]|2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-eryth ,"K12506 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclod"
RHAL1_02007,492, , ,Damage-inducible protein CinA,K03743,nicotinamide-nucleotide amidase [EC:3.5.1.42],K03743 nicotinamide-nucleotide amidase [EC:3.5.1.42] 
RHAL1_02008,477, , ,Cyclase/dehydrase,K18588,coenzyme Q-binding protein COQ10,K18588 coenzyme Q-binding protein COQ10 
RHAL1_02009,957,lipA,2.8.1.-,lipoate synthase,K03644,lipoyl synthase [EC:2.8.1.8],K03644 lipoyl synthase [EC:2.8.1.8] 
RHAL1_02010,1500, , ,ATP-binding protein,K06915,uncharacterized protein,no KO assigned 
RHAL1_02011,2085, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_02012,1443,lpdA,1.8.1.4,Dihydrolipoyl dehydrogenase,K00382,dihydrolipoamide dehydrogenase [EC:1.8.1.4],K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4] 
RHAL1_02013,669,tmk,2.7.4.9,Thymidylate kinase,K00943,dTMP kinase [EC:2.7.4.9],K00943 dTMP kinase [EC:2.7.4.9] 
RHAL1_02014,1176, , ,D-alanyl-D-alanine carboxypeptidase,K07258,serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC,K07258 serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4] 
RHAL1_02015,1278, , ,protein of unknown function,K03642,rare lipoprotein A,K03642 rare lipoprotein A 
RHAL1_02016,1269, , ,Lipopolysaccharide biosynthesis protein,K10107,capsular polysaccharide transport system permease protein,K10107 capsular polysaccharide transport system permease protein 
RHAL1_02017,1332, , ,putative Vi polysaccharide export inner membrane protein VexD,K10107,capsular polysaccharide transport system permease protein,K10107 capsular polysaccharide transport system permease protein 
RHAL1_02018,1812, , ,Glycosyl transferase family 2,K20444,O-antigen biosynthesis protein [EC:2.4.1.-],no KO assigned 
RHAL1_02019,789, , ,Exodeoxyribonuclease III,K01142,exodeoxyribonuclease III [EC:3.1.11.2],K01142 exodeoxyribonuclease III [EC:3.1.11.2] 
RHAL1_02020,804, , ,hypothetical protein,,,no KO assigned 
RHAL1_02021,1266, , ,Geraniol dehydrogenase,,,K00055 aryl-alcohol dehydrogenase [EC:1.1.1.90] 
RHAL1_02022,1215, , ,DNA protecting protein DprA,K04096,DNA processing protein,K04096 DNA processing protein 
RHAL1_02023,639,plsY, ,Glycerol-3-phosphate acyltransferase,K08591,acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275],K08591 acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275] 
RHAL1_02024,1098, , ,Peptidase M23,,,no KO assigned 
RHAL1_02025,288, , ,Glycoside hydrolase family 25 (fragment),K07273,lysozyme,no KO assigned 
RHAL1_02026,453, , ,Glycoside hydrolase family 25 (fragment),K07273,lysozyme,K07273 lysozyme 
RHAL1_02027,927, , ,tRNA mo(5)U34 methyltransferase,,,no KO assigned 
RHAL1_02028,1731, , ,Binding-protein-dependent transport systems inner membrane component,K02050,NitT/TauT family transport system permease protein,K02050 NitT/TauT family transport system permease protein 
RHAL1_02029,1314, , ,ABC transporter related,K02049,NitT/TauT family transport system ATP-binding protein,K02049 NitT/TauT family transport system ATP-binding protein 
RHAL1_02030,333, , ,hypothetical protein,,,no KO assigned 
RHAL1_02031,207, , ,hypothetical protein,,,no KO assigned 
RHAL1_02032,783, , ,hypothetical protein,,,no KO assigned 
RHAL1_02033,738, , ,ThiJ/PfpI domain-containing protein (fragment),,,no KO assigned 
RHAL1_02034,789, , ,Short-chain dehydrogenase/reductase SDR,,,no KO assigned 
RHAL1_02035,1038, , ,Cysteine synthase A,K01738,cysteine synthase [EC:2.5.1.47],K01738 cysteine synthase [EC:2.5.1.47] 
RHAL1_02036,861,sseA,2.8.1.2,3-mercaptopyruvate sulfurtransferase,K01011,thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2],K01011 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] 
RHAL1_02037,339,glnB, ,regulatory protein P-II for glutamine synthetase,K04751,nitrogen regulatory protein P-II 1,K04751 nitrogen regulatory protein P-II 1 
RHAL1_02038,930,glsA,3.5.1.2,Glutaminase,K01425,glutaminase [EC:3.5.1.2],K01425 glutaminase [EC:3.5.1.2] 
RHAL1_02039,1038,glnII,6.3.1.2,Glutamine synthetase,K01915,glutamine synthetase [EC:6.3.1.2],K01915 glutamine synthetase [EC:6.3.1.2] 
RHAL1_02040,1410,glnA,6.3.1.2,glutamine synthetase,K01915,glutamine synthetase [EC:6.3.1.2],K01915 glutamine synthetase [EC:6.3.1.2] 
RHAL1_02041,1293, , ,Glycosyl transferase family 1,,,no KO assigned 
RHAL1_02042,2019,parE,5.99.1.-,"DNA topoisomerase IV, subunit B",K02622,topoisomerase IV subunit B [EC:5.6.2.2],K02622 topoisomerase IV subunit B [EC:5.6.2.2] 
RHAL1_02043,2832,valS,6.1.1.9,Valine--tRNA ligase,K01873,valyl-tRNA synthetase [EC:6.1.1.9],K01873 valyl-tRNA synthetase [EC:6.1.1.9] 
RHAL1_02044,780, , ,hypothetical protein,K09991,uncharacterized protein,K09991 uncharacterized protein 
